d3mIndex,ID,EnglishSepaker,courseInstructor,course,summer,classSize,class
0,1.0,1,23,3,1,19.0,3
1,2.0,2,15,3,1,17.0,3
2,3.0,1,23,3,2,49.0,3
3,4.0,1,5,2,2,33.0,3
4,5.0,2,7,11,2,55.0,3
5,6.0,2,23,3,1,20.0,3
6,7.0,2,9,5,2,19.0,3
7,8.0,2,10,3,2,27.0,3
8,9.0,1,22,3,1,58.0,3
9,10.0,2,15,3,1,20.0,3
10,11.0,2,10,22,2,9.0,3
11,12.0,2,13,1,2,30.0,3
12,13.0,2,18,21,2,29.0,3
13,14.0,2,6,17,2,39.0,3
14,15.0,2,6,17,2,42.0,2
15,16.0,2,6,17,2,43.0,2
16,17.0,2,7,11,2,10.0,2
17,18.0,2,22,3,2,46.0,2
18,19.0,2,13,3,1,10.0,2
19,20.0,2,7,25,2,42.0,2
20,21.0,2,25,7,2,27.0,2
21,22.0,2,25,7,2,23.0,2
22,23.0,2,2,9,2,31.0,2
23,24.0,2,1,15,1,22.0,2
24,25.0,2,15,13,2,37.0,2
25,26.0,2,7,11,2,13.0,2
26,27.0,2,8,3,2,24.0,2
27,28.0,2,14,15,2,38.0,2
28,29.0,2,21,2,2,42.0,1
29,30.0,2,22,3,2,28.0,1
30,31.0,2,11,1,2,51.0,1
31,32.0,2,18,5,2,19.0,1
32,33.0,2,13,1,2,31.0,1
33,34.0,1,13,3,1,13.0,1
34,35.0,2,5,2,2,37.0,1
35,36.0,2,16,8,2,36.0,1
36,37.0,2,4,16,2,21.0,1
37,38.0,2,5,2,2,48.0,1
38,39.0,2,14,15,2,38.0,1
39,40.0,1,23,3,1,19.0,3
40,41.0,2,15,3,1,17.0,3
41,42.0,1,23,3,2,49.0,3
42,43.0,1,5,2,2,33.0,3
43,44.0,2,7,11,2,55.0,3
44,45.0,2,23,3,1,20.0,3
45,46.0,2,9,5,2,19.0,3
46,47.0,2,10,3,2,27.0,3
47,48.0,1,22,3,2,58.0,3
48,49.0,2,15,3,1,20.0,3
49,50.0,2,10,22,2,9.0,3
50,51.0,2,13,1,2,30.0,3
51,52.0,2,18,21,2,29.0,3
52,53.0,2,6,17,2,39.0,3
53,54.0,2,6,17,2,42.0,2
54,55.0,2,6,17,2,43.0,2
55,56.0,2,7,11,2,10.0,2
56,57.0,2,22,3,2,46.0,2
57,58.0,2,13,3,1,10.0,2
58,59.0,2,7,25,2,42.0,2
59,60.0,2,25,7,2,27.0,2
60,61.0,2,25,7,2,23.0,2
61,62.0,2,2,9,2,31.0,2
62,63.0,2,1,15,1,22.0,2
63,64.0,2,15,13,2,37.0,2
64,65.0,2,7,11,2,13.0,2
65,66.0,2,8,3,2,24.0,2
66,67.0,2,14,15,2,38.0,2
67,68.0,2,21,2,2,42.0,1
68,69.0,2,22,3,2,28.0,1
69,70.0,2,11,1,2,51.0,1
70,71.0,2,18,5,2,19.0,1
71,72.0,2,13,1,2,31.0,1
72,73.0,1,13,3,1,13.0,1
73,74.0,2,5,2,2,37.0,1
74,75.0,2,16,8,2,36.0,1
75,76.0,2,4,16,2,21.0,1
76,77.0,2,5,2,2,48.0,1
77,78.0,2,14,15,2,38.0,1
78,79.0,1,23,3,1,25.0,3
79,80.0,1,13,3,1,17.0,3
80,81.0,2,16,19,2,11.0,3
81,82.0,2,9,2,2,39.0,3
82,83.0,2,13,3,1,11.0,3
83,84.0,2,18,21,2,19.0,3
84,85.0,1,22,3,2,45.0,3
85,86.0,2,7,11,1,20.0,3
86,87.0,2,23,3,1,20.0,3
87,88.0,1,23,3,1,20.0,3
88,89.0,1,23,3,2,38.0,3
89,90.0,2,14,22,2,17.0,3
90,91.0,1,17,17,2,19.0,3
91,92.0,2,9,5,2,24.0,3
92,93.0,2,18,25,2,25.0,3
93,94.0,1,17,17,2,31.0,3
94,95.0,2,1,15,2,31.0,3
95,96.0,2,1,8,2,18.0,2
96,97.0,1,11,16,2,22.0,2
97,98.0,1,22,13,2,27.0,2
98,99.0,2,9,2,2,14.0,2
99,100.0,2,13,1,2,20.0,2
100,101.0,1,6,17,2,35.0,2
101,102.0,2,23,3,1,20.0,2
102,103.0,1,23,3,1,20.0,2
103,104.0,2,6,17,2,37.0,2
104,105.0,1,22,3,2,15.0,2
105,106.0,2,20,2,2,25.0,2
106,107.0,2,23,3,2,10.0,2
107,108.0,2,20,2,2,14.0,1
108,109.0,1,23,3,2,38.0,1
109,110.0,2,13,1,2,29.0,1
110,111.0,2,10,3,2,19.0,1
111,112.0,2,7,11,2,30.0,1
112,113.0,1,14,15,2,32.0,1
113,114.0,2,8,3,2,27.0,1
114,115.0,2,12,7,2,34.0,1
115,116.0,2,8,7,2,23.0,1
116,117.0,2,15,1,2,66.0,1
117,118.0,2,23,3,2,12.0,1
118,119.0,2,2,9,2,29.0,1
119,120.0,2,15,1,2,19.0,1
120,121.0,2,20,2,2,3.0,1
121,122.0,2,13,14,2,17.0,3
122,123.0,2,9,6,2,7.0,3
123,124.0,1,10,3,2,21.0,3
124,125.0,2,14,15,2,36.0,3
125,126.0,1,13,1,2,54.0,3
126,127.0,1,8,3,2,29.0,3
127,128.0,2,20,2,2,45.0,3
128,129.0,2,22,1,2,11.0,2
129,130.0,2,18,12,2,16.0,2
130,131.0,2,20,15,2,18.0,2
131,132.0,1,17,18,2,44.0,2
132,133.0,2,14,23,2,17.0,2
133,134.0,2,24,26,2,21.0,2
134,135.0,2,9,24,2,20.0,2
135,136.0,2,12,8,2,24.0,2
136,137.0,2,9,6,2,5.0,2
137,138.0,2,22,1,2,42.0,2
138,139.0,2,7,11,2,30.0,1
139,140.0,2,10,3,2,19.0,1
140,141.0,2,23,3,2,11.0,1
141,142.0,2,17,18,2,29.0,1
142,143.0,2,16,20,2,15.0,1
143,144.0,2,3,2,2,37.0,1
144,145.0,2,19,4,2,10.0,1
145,146.0,2,23,3,2,24.0,1
146,147.0,2,3,2,2,26.0,1
147,148.0,2,10,3,2,12.0,1
148,149.0,1,18,7,2,48.0,1
149,150.0,2,22,1,2,51.0,1
150,151.0,2,2,10,2,27.0,1
