d3mIndex,group,conc,age,at.risk,events
0,1,0,22.5,2956638,14
1,1,0,27.5,2175046,26
2,1,0,32.5,1580019,33
3,1,0,37.5,1320637,38
4,1,0,42.5,1327866,89
5,1,0,47.5,1334769,181
6,1,0,52.5,1214443,323
7,1,0,57.5,977820,478
8,1,0,62.5,739460,595
9,1,0,67.5,520965,607
10,1,0,72.5,320158,465
11,1,0,77.5,158750,230
12,1,0,82.5,63236,80
13,2,10,22.5,1128,0
14,2,10,27.5,634,0
15,2,10,32.5,389,0
16,2,10,37.5,313,0
17,2,10,42.5,364,0
18,2,10,47.5,410,0
19,2,10,52.5,325,1
20,2,10,57.5,227,1
21,2,10,62.5,141,1
22,2,10,67.5,104,0
23,2,10,72.5,63,0
24,2,10,77.5,39,0
25,2,10,82.5,22,0
26,3,11,22.5,904,0
27,3,11,27.5,545,0
28,3,11,32.5,270,0
29,3,11,37.5,283,0
30,3,11,42.5,241,0
31,3,11,47.5,298,0
32,3,11,52.5,280,0
33,3,11,57.5,218,0
34,3,11,62.5,168,0
35,3,11,67.5,138,0
36,3,11,72.5,124,0
37,3,11,77.5,33,0
38,3,11,82.5,27,0
39,4,30,22.5,1187,0
40,4,30,27.5,782,0
41,4,30,32.5,549,0
42,4,30,37.5,472,0
43,4,30,42.5,469,0
44,4,30,47.5,421,0
45,4,30,52.5,379,1
46,4,30,57.5,323,0
47,4,30,62.5,312,0
48,4,30,67.5,232,1
49,4,30,72.5,157,1
50,4,30,77.5,60,1
51,4,30,82.5,45,0
52,5,32,22.5,1792,0
53,5,32,27.5,1217,0
54,5,32,32.5,854,0
55,5,32,37.5,745,0
56,5,32,42.5,733,1
57,5,32,47.5,671,0
58,5,32,52.5,570,0
59,5,32,57.5,463,1
60,5,32,62.5,317,0
61,5,32,67.5,220,0
62,5,32,72.5,159,3
63,5,32,77.5,59,1
64,5,32,82.5,51,0
65,6,32,22.5,584,0
66,6,32,27.5,393,0
67,6,32,32.5,237,0
68,6,32,37.5,222,0
69,6,32,42.5,232,0
70,6,32,47.5,216,0
71,6,32,52.5,194,1
72,6,32,57.5,162,0
73,6,32,62.5,173,0
74,6,32,67.5,122,0
75,6,32,72.5,88,1
76,6,32,77.5,38,0
77,6,32,82.5,28,1
78,7,42,22.5,2188,0
79,7,42,27.5,1509,0
80,7,42,32.5,1065,0
81,7,42,37.5,1036,0
82,7,42,42.5,1051,0
83,7,42,47.5,951,0
84,7,42,52.5,820,0
85,7,42,57.5,637,0
86,7,42,62.5,511,0
87,7,42,67.5,408,0
88,7,42,72.5,247,0
89,7,42,77.5,122,0
90,7,42,82.5,84,0
91,8,45,22.5,1981,0
92,8,45,27.5,1203,0
93,8,45,32.5,719,0
94,8,45,37.5,574,0
95,8,45,42.5,644,0
96,8,45,47.5,709,0
97,8,45,52.5,637,0
98,8,45,57.5,458,0
99,8,45,62.5,282,0
100,8,45,67.5,157,0
101,8,45,72.5,155,0
102,8,45,77.5,122,0
103,8,45,82.5,75,0
104,9,50,22.5,1468,0
105,9,50,27.5,807,0
106,9,50,32.5,553,0
107,9,50,37.5,508,0
108,9,50,42.5,619,0
109,9,50,47.5,621,0
110,9,50,52.5,485,0
111,9,50,57.5,359,0
112,9,50,62.5,325,0
113,9,50,67.5,247,0
114,9,50,72.5,235,0
115,9,50,77.5,155,0
116,9,50,82.5,119,0
117,10,56,22.5,1543,0
118,10,56,27.5,777,0
119,10,56,32.5,464,0
120,10,56,37.5,499,0
121,10,56,42.5,617,0
122,10,56,47.5,898,0
123,10,56,52.5,460,0
124,10,56,57.5,373,1
125,10,56,62.5,244,1
126,10,56,67.5,174,0
127,10,56,72.5,97,2
128,10,56,77.5,41,1
129,10,56,82.5,51,0
130,11,60,22.5,2527,0
131,11,60,27.5,1443,0
132,11,60,32.5,816,0
133,11,60,37.5,747,0
134,11,60,42.5,902,0
135,11,60,47.5,944,0
136,11,60,52.5,810,0
137,11,60,57.5,607,0
138,11,60,62.5,475,0
139,11,60,67.5,381,0
140,11,60,72.5,249,1
141,11,60,77.5,146,0
142,11,60,82.5,60,0
143,12,65,22.5,1563,0
144,12,65,27.5,944,0
145,12,65,32.5,592,0
146,12,65,37.5,498,0
147,12,65,42.5,583,1
148,12,65,47.5,512,0
149,12,65,52.5,426,1
150,12,65,57.5,382,0
151,12,65,62.5,377,0
152,12,65,67.5,314,0
153,12,65,72.5,183,0
154,12,65,77.5,120,0
155,12,65,82.5,80,0
156,13,73,22.5,2796,0
157,13,73,27.5,1759,0
158,13,73,32.5,1302,0
159,13,73,37.5,1289,0
160,13,73,42.5,1401,0
161,13,73,47.5,1066,0
162,13,73,52.5,864,1
163,13,73,57.5,653,0
164,13,73,62.5,550,0
165,13,73,67.5,442,0
166,13,73,72.5,350,0
167,13,73,77.5,214,0
168,13,73,82.5,81,1
169,14,80,22.5,2477,0
170,14,80,27.5,1667,0
171,14,80,32.5,939,0
172,14,80,37.5,782,0
173,14,80,42.5,878,0
174,14,80,47.5,1028,0
175,14,80,52.5,1147,0
176,14,80,57.5,1030,0
177,14,80,62.5,589,0
178,14,80,67.5,348,1
179,14,80,72.5,223,1
180,14,80,77.5,113,0
181,14,80,82.5,86,0
182,15,100,22.5,1613,0
183,15,100,27.5,1042,0
184,15,100,32.5,638,0
185,15,100,37.5,510,0
186,15,100,42.5,624,0
187,15,100,47.5,628,1
188,15,100,52.5,513,0
189,15,100,57.5,405,0
190,15,100,62.5,326,1
191,15,100,67.5,252,0
192,15,100,72.5,169,1
193,15,100,77.5,107,0
194,15,100,82.5,68,0
195,16,110,22.5,1508,0
196,16,110,27.5,809,0
197,16,110,32.5,522,0
198,16,110,37.5,582,0
199,16,110,42.5,519,0
200,16,110,47.5,506,1
201,16,110,52.5,404,1
202,16,110,57.5,316,0
203,16,110,62.5,243,0
204,16,110,67.5,170,0
205,16,110,72.5,113,1
206,16,110,77.5,39,1
207,16,110,82.5,22,0
208,17,110,22.5,1044,0
209,17,110,27.5,639,0
210,17,110,32.5,363,0
211,17,110,37.5,390,0
212,17,110,42.5,392,0
213,17,110,47.5,408,0
214,17,110,52.5,295,1
215,17,110,57.5,238,0
216,17,110,62.5,205,0
217,17,110,67.5,116,1
218,17,110,72.5,101,0
219,17,110,77.5,41,1
220,17,110,82.5,17,0
221,18,123,22.5,1022,0
222,18,123,27.5,682,0
223,18,123,32.5,429,0
224,18,123,37.5,492,0
225,18,123,42.5,454,0
226,18,123,47.5,394,0
227,18,123,52.5,286,0
228,18,123,57.5,266,0
229,18,123,62.5,252,0
230,18,123,67.5,192,0
231,18,123,72.5,101,0
232,18,123,77.5,90,0
233,18,123,82.5,49,1
234,19,126,22.5,1616,0
235,19,126,27.5,897,0
236,19,126,32.5,516,0
237,19,126,37.5,485,0
238,19,126,42.5,588,0
239,19,126,47.5,555,0
240,19,126,52.5,474,0
241,19,126,57.5,411,0
242,19,126,62.5,345,0
243,19,126,67.5,285,1
244,19,126,72.5,184,1
245,19,126,77.5,104,0
246,19,126,82.5,48,0
247,20,256,22.5,2506,0
248,20,256,27.5,1455,0
249,20,256,32.5,923,0
250,20,256,37.5,796,0
251,20,256,42.5,929,0
252,20,256,47.5,853,0
253,20,256,52.5,708,0
254,20,256,57.5,510,2
255,20,256,62.5,392,0
256,20,256,67.5,275,2
257,20,256,72.5,202,2
258,20,256,77.5,111,0
259,20,256,82.5,42,1
260,21,256,22.5,1036,0
261,21,256,27.5,511,0
262,21,256,32.5,249,0
263,21,256,37.5,277,0
264,21,256,42.5,255,0
265,21,256,47.5,281,1
266,21,256,52.5,353,0
267,21,256,57.5,226,1
268,21,256,62.5,204,1
269,21,256,67.5,201,0
270,21,256,72.5,153,0
271,21,256,77.5,83,2
272,21,256,82.5,43,0
273,22,259,22.5,1425,0
274,22,259,27.5,773,0
275,22,259,32.5,468,0
276,22,259,37.5,379,0
277,22,259,42.5,457,0
278,22,259,47.5,439,0
279,22,259,52.5,403,0
280,22,259,57.5,374,1
281,22,259,62.5,346,1
282,22,259,67.5,237,1
283,22,259,72.5,143,1
284,22,259,77.5,75,0
285,22,259,82.5,61,1
286,23,307,22.5,733,0
287,23,307,27.5,398,0
288,23,307,32.5,202,0
289,23,307,37.5,213,0
290,23,307,42.5,272,0
291,23,307,47.5,292,0
292,23,307,52.5,239,0
293,23,307,57.5,154,1
294,23,307,62.5,169,0
295,23,307,67.5,140,0
296,23,307,72.5,85,1
297,23,307,77.5,32,0
298,23,307,82.5,24,0
299,24,307,22.5,1231,0
300,24,307,27.5,740,0
301,24,307,32.5,501,0
302,24,307,37.5,514,1
303,24,307,42.5,563,0
304,24,307,47.5,539,2
305,24,307,52.5,440,0
306,24,307,57.5,300,0
307,24,307,62.5,212,1
308,24,307,67.5,131,0
309,24,307,72.5,90,0
310,24,307,77.5,66,0
311,24,307,82.5,37,0
312,25,350,22.5,1024,0
313,25,350,27.5,551,0
314,25,350,32.5,346,0
315,25,350,37.5,291,0
316,25,350,42.5,351,0
317,25,350,47.5,334,0
318,25,350,52.5,259,0
319,25,350,57.5,204,0
320,25,350,62.5,143,0
321,25,350,67.5,176,0
322,25,350,72.5,122,0
323,25,350,77.5,55,0
324,25,350,82.5,56,0
325,26,398,22.5,745,0
326,26,398,27.5,380,0
327,26,398,32.5,269,0
328,26,398,37.5,218,0
329,26,398,42.5,250,0
330,26,398,47.5,327,0
331,26,398,52.5,294,0
332,26,398,57.5,224,0
333,26,398,62.5,167,0
334,26,398,67.5,103,0
335,26,398,72.5,60,0
336,26,398,77.5,19,0
337,26,398,82.5,13,0
338,27,406,22.5,1203,0
339,27,406,27.5,570,0
340,27,406,32.5,311,0
341,27,406,37.5,342,0
342,27,406,42.5,341,0
343,27,406,47.5,442,2
344,27,406,52.5,336,0
345,27,406,57.5,319,1
346,27,406,62.5,249,1
347,27,406,67.5,201,1
348,27,406,72.5,104,0
349,27,406,77.5,36,0
350,27,406,82.5,28,0
351,28,448,22.5,1164,0
352,28,448,27.5,592,0
353,28,448,32.5,379,0
354,28,448,37.5,374,0
355,28,448,42.5,415,0
356,28,448,47.5,364,0
357,28,448,52.5,339,0
358,28,448,57.5,287,1
359,28,448,62.5,220,0
360,28,448,67.5,169,0
361,28,448,72.5,140,2
362,28,448,77.5,86,1
363,28,448,82.5,22,0
364,29,467,22.5,1476,0
365,29,467,27.5,782,0
366,29,467,32.5,614,0
367,29,467,37.5,621,0
368,29,467,42.5,677,1
369,29,467,47.5,579,1
370,29,467,52.5,466,0
371,29,467,57.5,294,1
372,29,467,62.5,247,2
373,29,467,67.5,206,0
374,29,467,72.5,96,1
375,29,467,77.5,64,0
376,29,467,82.5,57,1
377,30,504,22.5,1348,0
378,30,504,27.5,696,0
379,30,504,32.5,546,0
380,30,504,37.5,514,0
381,30,504,42.5,637,0
382,30,504,47.5,549,0
383,30,504,52.5,445,0
384,30,504,57.5,371,0
385,30,504,62.5,294,0
386,30,504,67.5,201,1
387,30,504,72.5,104,0
388,30,504,77.5,80,0
389,30,504,82.5,58,0
390,31,520,22.5,1089,0
391,31,520,27.5,531,0
392,31,520,32.5,326,0
393,31,520,37.5,322,0
394,31,520,42.5,418,0
395,31,520,47.5,396,1
396,31,520,52.5,332,2
397,31,520,57.5,247,1
398,31,520,62.5,220,0
399,31,520,67.5,194,0
400,31,520,72.5,148,0
401,31,520,77.5,93,0
402,31,520,82.5,74,0
403,32,520,22.5,1161,0
404,32,520,27.5,778,0
405,32,520,32.5,450,0
406,32,520,37.5,420,0
407,32,520,42.5,419,1
408,32,520,47.5,430,0
409,32,520,52.5,362,1
410,32,520,57.5,279,1
411,32,520,62.5,207,0
412,32,520,67.5,166,0
413,32,520,72.5,129,0
414,32,520,77.5,43,0
415,32,520,82.5,26,0
416,33,529,22.5,2383,0
417,33,529,27.5,1446,0
418,33,529,32.5,859,0
419,33,529,37.5,855,0
420,33,529,42.5,892,0
421,33,529,47.5,847,0
422,33,529,52.5,691,1
423,33,529,57.5,550,1
424,33,529,62.5,373,1
425,33,529,67.5,295,0
426,33,529,72.5,145,2
427,33,529,77.5,67,1
428,33,529,82.5,51,0
429,34,538,22.5,1129,0
430,34,538,27.5,616,0
431,34,538,32.5,363,0
432,34,538,37.5,331,0
433,34,538,42.5,352,0
434,34,538,47.5,296,0
435,34,538,52.5,307,0
436,34,538,57.5,279,3
437,34,538,62.5,249,3
438,34,538,67.5,173,1
439,34,538,72.5,106,0
440,34,538,77.5,39,1
441,34,538,82.5,47,0
442,35,544,22.5,910,0
443,35,544,27.5,505,0
444,35,544,32.5,255,0
445,35,544,37.5,238,0
446,35,544,42.5,324,0
447,35,544,47.5,330,0
448,35,544,52.5,295,0
449,35,544,57.5,208,0
450,35,544,62.5,179,1
451,35,544,67.5,152,0
452,35,544,72.5,139,0
453,35,544,77.5,61,0
454,35,544,82.5,59,0
455,36,599,22.5,2158,0
456,36,599,27.5,1217,0
457,36,599,32.5,935,0
458,36,599,37.5,747,0
459,36,599,42.5,854,0
460,36,599,47.5,698,0
461,36,599,52.5,702,1
462,36,599,57.5,560,1
463,36,599,62.5,502,1
464,36,599,67.5,226,1
465,36,599,72.5,227,2
466,36,599,77.5,142,2
467,36,599,82.5,91,0
468,37,650,22.5,620,0
469,37,650,27.5,345,0
470,37,650,32.5,186,0
471,37,650,37.5,148,0
472,37,650,42.5,178,0
473,37,650,47.5,233,0
474,37,650,52.5,227,1
475,37,650,57.5,156,0
476,37,650,62.5,122,0
477,37,650,67.5,88,0
478,37,650,72.5,57,0
479,37,650,77.5,46,1
480,37,650,82.5,19,0
481,38,683,22.5,878,0
482,38,683,27.5,329,0
483,38,683,32.5,200,0
484,38,683,37.5,264,0
485,38,683,42.5,316,0
486,38,683,47.5,299,0
487,38,683,52.5,247,2
488,38,683,57.5,195,2
489,38,683,62.5,172,1
490,38,683,67.5,128,0
491,38,683,72.5,84,0
492,38,683,77.5,33,0
493,38,683,82.5,10,0
494,39,693,22.5,2567,0
495,39,693,27.5,1759,0
496,39,693,32.5,1537,0
497,39,693,37.5,1037,0
498,39,693,42.5,1057,0
499,39,693,47.5,1033,3
500,39,693,52.5,690,1
501,39,693,57.5,591,5
502,39,693,62.5,420,1
503,39,693,67.5,206,2
504,39,693,72.5,167,2
505,39,693,77.5,45,0
506,39,693,82.5,14,0
507,40,694,22.5,1817,0
508,40,694,27.5,1024,0
509,40,694,32.5,598,0
510,40,694,37.5,573,0
511,40,694,42.5,683,0
512,40,694,47.5,679,0
513,40,694,52.5,525,0
514,40,694,57.5,418,2
515,40,694,62.5,308,0
516,40,694,67.5,193,0
517,40,694,72.5,118,0
518,40,694,77.5,46,0
519,40,694,82.5,28,0
520,41,698,22.5,1085,0
521,41,698,27.5,617,0
522,41,698,32.5,390,0
523,41,698,37.5,361,0
524,41,698,42.5,395,0
525,41,698,47.5,339,0
526,41,698,52.5,337,1
527,41,698,57.5,275,1
528,41,698,62.5,195,1
529,41,698,67.5,167,0
530,41,698,72.5,102,1
531,41,698,77.5,37,2
532,41,698,82.5,10,0
533,42,717,22.5,1425,0
534,42,717,27.5,849,0
535,42,717,32.5,509,0
536,42,717,37.5,463,0
537,42,717,42.5,530,0
538,42,717,47.5,501,0
539,42,717,52.5,473,0
540,42,717,57.5,334,0
541,42,717,62.5,269,0
542,42,717,67.5,212,0
543,42,717,72.5,133,0
544,42,717,77.5,80,0
545,42,717,82.5,37,0
546,43,934,22.5,2085,0
547,43,934,27.5,1209,1
548,43,934,32.5,1087,0
549,43,934,37.5,745,0
550,43,934,42.5,693,0
551,43,934,47.5,739,0
552,43,934,52.5,616,0
553,43,934,57.5,513,0
554,43,934,62.5,342,1
555,43,934,67.5,154,2
556,43,934,72.5,87,0
557,43,934,77.5,30,0
558,43,934,82.5,41,0
